number_of_vehicles,number_of_casualties,day_of_week,time,local_authority_district,speed_limit,junction_detail,pedestrian_crossing_physical_facilities,light_conditions,road_surface_conditions,urban_or_rural_area,sex_of_casualty,age_band_of_casualty,casualty_severity,casualty_home_area_type,casualty_imd_decile,Year,Month,Day,wind_conditions,weather_conditions_Fine,weather_conditions_Fog or mist,weather_conditions_Other,weather_conditions_Raining,weather_conditions_Snowing,casualty_type_Car driver,casualty_type_Car front seat passenger,casualty_type_Car rear seat passenger,casualty_type_Cyclist,casualty_type_Goods vehicle driver,casualty_type_Goods vehicle passenger,casualty_type_Motorcycle passenger,casualty_type_Motorcycle rider,casualty_type_Other vehicle occupant,casualty_type_Pedestrian,casualty_type_Public transport driver,casualty_type_Public transport passenger
1,2,1,23,1,40,0,1,1,1,1,1,3,1,0,1,2020,6,2,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
1,2,1,23,1,40,0,1,1,1,1,1,3,1,0,1,2020,6,2,0,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
1,2,3,7,2,40,0,1,0,0,0,1,2,1,0,1,2020,2,27,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
1,2,3,7,2,40,0,1,0,0,0,1,2,1,0,1,2020,2,27,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2,2,7,12,3,30,0,0,0,0,0,0,5,0,1,0,2018,7,22,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
2,2,7,12,3,30,0,0,0,0,0,0,5,0,1,0,2018,7,22,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
1,1,2,11,3,30,0,1,0,0,0,0,3,1,0,6,2018,10,17,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
3,1,5,13,2,40,0,0,0,1,1,0,7,1,0,0,2018,12,22,0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
2,1,4,14,3,40,0,0,0,0,1,0,9,1,1,0,2019,7,5,0,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
2,2,3,14,2,60,0,0,0,0,1,1,7,0,0,4,2018,3,8,0,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
